ID,User,Tweets,fav_count,rt_count,tweet_date,Sentiment
1359756400012926976,Aung San Peacock,peaceful protest inlay lake,0,0,2021-02-11 06:49:23,positive
1359756398863634433,thinzar,national league democracy nld officially announce world president elect win myint official president government myanmar support zoom parliament fight democracy support win myint,0,0,2021-02-11 06:49:23,positive
1359756388264783872,Sin Sin,fight democracy non violent protester inlay state myanmar burma feb,0,0,2021-02-11 06:49:20,negative
1359756385978748932,Lily May,world s first float protest inle southern state myanmar,0,0,2021-02-11 06:49:20,positive
1359756383940272128,Hnin Phway,chinese embassy say transport seafood myanmar actually transport weapon secretly,0,0,2021-02-11 06:49:19,negative
1359756383873355781,Pmo,myanmar union election commission member arrest pm approximately detain military now country law military arrest people night curfew pm be,0,0,2021-02-11 06:49:19,negative
1359756381675429888,Mikashi0614,myanmar military coup release cyber law follow part try block every information myanmar,0,0,2021-02-11 06:49:19,negative
1359756379557224449,Rachel,myanmar traditional boxing player protest military dictatorship fight democracy,0,0,2021-02-11 06:49:18,negative
1359756375782395908,Su Pyae,really happens myanmar plz believe military say,0,0,2021-02-11 06:49:17,positive
1359756375560126467,Yunagami,cctv footage friend violently arrest well know technician myanmar come make violent arrest without able say anything without arrest warrant,0,0,2021-02-11 06:49:17,negative
1359756354999648257,myint than,myanmar military try control internet system impose news blackout like mainland china chinese government support succeed coup,0,0,2021-02-11 06:49:12,negative
1359756353250578432,Jove,lose internet again china china help military coup use myanmar economically benefit country provide technical support military detain cyber security myanmar,0,0,2021-02-11 06:49:12,positive
1359756336343359489,Athin Nyein,committee represent pyidaungsu hluttaw cprp sue military junta violate law take power we people myanmar officially recognize statement make crph,0,0,2021-02-11 06:49:08,negative
1359756324423098369,𝐵𝑎𝑦 𝐵𝑎𝑦,hence strick fake news myanmar military notify people work mobile operator international gateway isp inter service provider stop internet day from be pm need help,0,0,2021-02-11 06:49:05,negative
1359756320123981829,~ A Thwelt ~,today this first float protest world at inle phontaw oo inlay myanmar get dictator,1,0,2021-02-11 06:49:04,positive
1359756317041192962,Chit Su Sandy| Save Myanmar,celebrate chinese new year well cuz china major culprit life myanmar people,0,0,2021-02-11 06:49:03,positive
1359756312301588481,Fuus,myanmar military try control internet system impose news blackout like mainland china chinese government support succeed coup,0,0,2021-02-11 06:49:02,negative
1359756309806030850,Anna_Htet Yee,dear international friend lose internet again china late news receive china provide technical support myanmar military detain cyber security myanmar condemn china action,0,0,2021-02-11 06:49:01,negative
1359756308786806785,Mei Mei Fong,condemn mainland china myanmar military try control internet system impose news blackout like mainland china chinese government support succeed coup crd,0,0,2021-02-11 06:49:01,negative
1359756304546492422,Stella Kyung,myanmar people protest peacefully creative idea support u want justice,0,0,2021-02-11 06:49:00,positive
1359756302411395079,Yunagami,cctv footage friend violently arrest well know technician myanmar come make violent arrest without able say anything without arrest warrant,0,0,2021-02-11 06:49:00,negative
1359756301627129859,Aung_Phyo_Linn,world s first protest water inle lake shan state myanmar burma,0,0,2021-02-11 06:49:00,positive
1359756298204573698,Chiri_Loey,world s first float protest inle southern state myanmar,0,0,2021-02-11 06:48:59,positive
1359756296400953344,Sanjay Gautam,lose internet again china late news receive china provide technical support myanmar military detain cyber security myanmar condemn china action,0,0,2021-02-11 06:48:58,negative
1359756296132689924,Yee Lwin,staff state run myanmar economic bank protest,0,0,2021-02-11 06:48:58,positive
1359756294740082690,Myanmar Burma,state inle lake myanmar fight democracy inle leg rower team revolution water more photo reply,1,1,2021-02-11 06:48:58,positive
1359756281758711809,Yin Yin,myanmar military try control internet system like mainland china chinese government also support myanmar military successful coup chinese government chief culprit life burmese people,0,0,2021-02-11 06:48:55,positive
1359756280689229824,Jasmine,day military coup myanmar youth wear like lady justice blindfolding eye hold scale rally represent injustice attempt dictator myanmar government system fight democracy,1,1,2021-02-11 06:48:55,negative
1359756276520091648,ZweMannAungSoe #SaveMyanmar,protest peacefully myanmar burma people shout immediately release democratic leader aung san su kyi win myint president myanmar,0,0,2021-02-11 06:48:54,positive
1359756274045386756,Eaim Dra,china help military coup use myanmar economically benefit provide technical support military detain cyber security reject military government care public vote,0,0,2021-02-11 06:48:53,negative
